Package,Built
assertthat,3.3.3
backports,3.3.3
base,3.3.3
base64enc,3.3.2
BH,3.3.2
bindr,3.3.3
bindrcpp,3.3.3
bit,3.3.2
bit64,3.3.3
bitops,3.3.2
blob,3.3.3
boot,3.3.3
broom,3.3.3
car,3.3.3
caTools,3.3.3
cellranger,3.3.3
chron,3.3.3
class,3.3.3
cli,3.3.3
clipr,3.3.3
clisymbols,3.3.3
cluster,3.3.3
codetools,3.3.3
colorspace,3.3.3
compiler,3.3.3
crayon,3.3.3
curl,3.3.3
datasets,3.3.3
DBI,3.3.3
dbplyr,3.3.3
debugme,3.3.3
desc,3.3.3
devtools,3.3.3
dichromat,3.3.2
digest,3.3.3
dplyr,3.3.3
DT,3.3.3
enc,3.3.3
evaluate,3.3.3
extrafont,3.3.2
extrafontdb,3.3.2
flexdashboard,3.3.3
forcats,3.3.3
forecast,3.3.3
foreign,3.3.3
formatR,3.3.3
fracdiff,3.3.3
fs,3.3.3
ggplot2,3.3.3
ggthemes,3.3.3
gh,3.3.3
git2r,3.3.3
glue,3.3.3
graphics,3.3.3
grDevices,3.3.3
grid,3.3.3
gridExtra,3.3.3
gsubfn,3.3.3
gtable,3.3.3
haven,3.3.3
here,3.3.3
highr,3.3.3
hms,3.3.3
htmltools,3.3.3
htmlwidgets,3.3.3
httpuv,3.3.3
httr,3.3.3
ini,3.3.3
jsonlite,3.3.3
KernSmooth,3.3.3
knitr,3.3.3
labeling,3.3.2
lattice,3.3.3
lazyeval,3.3.3
lme4,3.3.3
lmtest,3.3.3
lubridate,3.3.3
magrittr,3.3.3
markdown,3.3.3
MASS,3.3.3
Matrix,3.3.3
MatrixModels,3.3.3
memoise,3.3.3
methods,3.3.3
mgcv,3.3.3
mime,3.3.2
minqa,3.3.3
mnormt,3.3.2
modelr,3.3.3
moments,3.3.2
munsell,3.3.3
nlme,3.3.3
nloptr,3.3.3
nnet,3.3.3
openssl,3.3.3
parallel,3.3.3
pbkrtest,3.3.3
pillar,3.3.3
pkgconfig,3.3.3
plogr,3.3.3
plyr,3.3.3
praise,3.3.3
proto,3.3.3
psych,3.3.3
purrr,3.3.3
quadprog,3.3.2
quantmod,3.3.3
quantreg,3.3.3
R6,3.3.3
RColorBrewer,3.3.2
Rcpp,3.3.3
RcppArmadillo,3.3.3
RcppEigen,3.3.3
readr,3.3.3
readxl,3.3.3
rematch,3.3.3
rematch2,3.3.3
reprex,3.3.3
reshape2,3.3.3
rlang,3.3.3
rmarkdown,3.3.3
rpart,3.3.3
rpivotTable,3.3.3
rprojroot,3.3.3
RSQLite,3.3.3
rstudioapi,3.3.3
Rttf2pt1,3.3.2
rvest,3.3.3
scales,3.3.3
selectr,3.3.3
shiny,3.3.3
sourcetools,3.3.3
SparseM,3.3.3
spatial,3.3.3
splines,3.3.3
sqldf,3.3.3
stats,3.3.3
stats4,3.3.3
stringi,3.3.3
stringr,3.3.3
styler,3.3.3
survival,3.3.3
tcltk,3.3.3
testthat,3.3.3
tibble,3.3.3
tidyr,3.3.3
tidyselect,3.3.3
tidyverse,3.3.3
timeDate,3.3.3
tools,3.3.3
translations,3.3.3
tseries,3.3.3
TTR,3.3.3
usethis,3.3.3
utf8,3.3.3
utils,3.3.3
viridisLite,3.3.3
whisker,3.3.3
withr,3.3.3
xml2,3.3.3
xtable,3.3.3
xts,3.3.3
yaml,3.3.3
zoo,3.3.3
