Package,LibPath,Version,Priority,Built
assertthat,C:/Program Files/R/R-3.3.3/library,0.2.0,NA,3.3.3
backports,C:/Program Files/R/R-3.3.3/library,1.1.0,NA,3.3.3
base,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
base64enc,C:/Program Files/R/R-3.3.3/library,0.1-3,NA,3.3.2
BH,C:/Program Files/R/R-3.3.3/library,1.62.0-1,NA,3.3.2
bindr,C:/Program Files/R/R-3.3.3/library,0.1,NA,3.3.3
bindrcpp,C:/Program Files/R/R-3.3.3/library,0.2,NA,3.3.3
bit,C:/Program Files/R/R-3.3.3/library,1.1-12,NA,3.3.2
bit64,C:/Program Files/R/R-3.3.3/library,0.9-7,NA,3.3.3
bitops,C:/Program Files/R/R-3.3.3/library,1.0-6,NA,3.3.2
blob,C:/Program Files/R/R-3.3.3/library,1.1.0,NA,3.3.3
boot,C:/Program Files/R/R-3.3.3/library,1.3-18,recommended,3.3.3
broom,C:/Program Files/R/R-3.3.3/library,0.4.3,NA,3.3.3
car,C:/Program Files/R/R-3.3.3/library,2.1-4,NA,3.3.3
caTools,C:/Program Files/R/R-3.3.3/library,1.17.1,NA,3.3.3
cellranger,C:/Program Files/R/R-3.3.3/library,1.1.0,NA,3.3.3
chron,C:/Program Files/R/R-3.3.3/library,2.3-50,NA,3.3.3
class,C:/Program Files/R/R-3.3.3/library,7.3-14,recommended,3.3.3
cli,C:/Program Files/R/R-3.3.3/library,1.0.0,NA,3.3.3
clipr,C:/Program Files/R/R-3.3.3/library,0.4.0,NA,3.3.3
clisymbols,C:/Program Files/R/R-3.3.3/library,1.2.0,NA,3.3.3
cluster,C:/Program Files/R/R-3.3.3/library,2.0.5,recommended,3.3.3
codetools,C:/Program Files/R/R-3.3.3/library,0.2-15,recommended,3.3.3
colorspace,C:/Program Files/R/R-3.3.3/library,1.3-2,NA,3.3.3
compiler,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
crayon,C:/Program Files/R/R-3.3.3/library,1.3.4,NA,3.3.3
curl,C:/Program Files/R/R-3.3.3/library,2.8.1,NA,3.3.3
datasets,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
DBI,C:/Program Files/R/R-3.3.3/library,0.7,NA,3.3.3
dbplyr,C:/Program Files/R/R-3.3.3/library,1.2.0,NA,3.3.3
debugme,C:/Program Files/R/R-3.3.3/library,1.1.0,NA,3.3.3
desc,C:/Program Files/R/R-3.3.3/library,1.1.1,NA,3.3.3
devtools,C:/Program Files/R/R-3.3.3/library,1.13.4,NA,3.3.3
dichromat,C:/Program Files/R/R-3.3.3/library,2.0-0,NA,3.3.2
digest,C:/Program Files/R/R-3.3.3/library,0.6.12,NA,3.3.3
dplyr,C:/Program Files/R/R-3.3.3/library,0.7.4,NA,3.3.3
DT,C:/Program Files/R/R-3.3.3/library,0.2,NA,3.3.3
enc,C:/Program Files/R/R-3.3.3/library,0.1,NA,3.3.3
evaluate,C:/Program Files/R/R-3.3.3/library,0.10.1,NA,3.3.3
extrafont,C:/Program Files/R/R-3.3.3/library,0.17,NA,3.3.2
extrafontdb,C:/Program Files/R/R-3.3.3/library,1.0,NA,3.3.2
flexdashboard,C:/Program Files/R/R-3.3.3/library,0.5,NA,3.3.3
forcats,C:/Program Files/R/R-3.3.3/library,0.2.0,NA,3.3.3
forecast,C:/Program Files/R/R-3.3.3/library,8.1,NA,3.3.3
foreign,C:/Program Files/R/R-3.3.3/library,0.8-67,recommended,3.3.3
formatR,C:/Program Files/R/R-3.3.3/library,1.5,NA,3.3.3
fracdiff,C:/Program Files/R/R-3.3.3/library,1.4-2,NA,3.3.3
fs,C:/Program Files/R/R-3.3.3/library,1.1.0,NA,3.3.3
ggplot2,C:/Program Files/R/R-3.3.3/library,2.2.1,NA,3.3.3
